,lat,lon,Ca_r,Cf_r,An_r,rms
83,76.24135,230.720424,0.68196,1.01483,0.5452600000000001,12.13
84,76.24149399999999,230.72277000000005,0.68196,1.01483,0.5452600000000001,22.13
85,76.24165500000001,230.720663,0.68196,1.01483,0.5452600000000001,18.22
86,76.241817,230.718556,0.67578,1.01174,0.54063,6.42
87,76.24164300000001,230.720821,0.68196,1.01483,0.5452600000000001,19.67
88,76.241788,230.723165,0.68196,1.01483,0.5452600000000001,28.58
89,76.241949,230.721057,0.68196,1.01483,0.5452600000000001,17.01
90,76.242111,230.71895,0.67578,1.01174,0.54063,14.24
91,76.241937,230.721219,0.68196,1.01483,0.5452600000000001,20.74
92,76.242082,230.72356,0.68196,1.01483,0.5452600000000001,24.64
93,76.242243,230.721453,0.67578,1.01174,0.54063,14.93
94,76.24240400000001,230.71934700000003,0.67578,1.01174,0.54063,21.45
95,76.242231,230.721617,0.68196,1.01483,0.5452600000000001,16.06
96,76.242375,230.723957,0.68196,1.01483,0.5452600000000001,10.59
97,76.242537,230.72185,0.67578,1.01174,0.54063,11.99
98,76.242698,230.719743,0.67578,1.01174,0.54063,17.72
99,76.242524,230.722014,0.67578,1.01174,0.54063,12.51
100,76.24266899999999,230.724352,0.67578,1.01174,0.54063,8.7
101,76.24283,230.722245,0.67578,1.01174,0.54063,13.39
102,76.242992,230.720137,0.67578,1.01174,0.54063,14.93
103,76.242818,230.722411,0.67578,1.01174,0.54063,13.59
104,76.242963,230.724747,0.67578,1.01174,0.54063,8.98
105,76.243124,230.722638,0.67578,1.01174,0.54063,11.49
106,76.243286,230.720529,0.67578,1.01174,0.54063,23.68
107,76.243111,230.722809,0.67578,1.01174,0.54063,10.83
108,76.243256,230.725142,0.67578,1.01174,0.54063,8.5
109,76.243418,230.723034,0.67578,1.01174,0.54063,8.58
110,76.24358000000001,230.720925,0.67578,1.01174,0.54063,23.04
111,76.24340500000001,230.723206,0.67578,1.01174,0.54063,8.15
112,76.24355,230.725537,0.67578,1.01174,0.54063,8.11
113,76.243712,230.723429,0.67578,1.01174,0.54063,7.86
114,76.243873,230.721321,0.67578,1.01174,0.54063,18.39
115,76.243698,230.723604,0.67578,1.01174,0.54063,8.19
116,76.243844,230.72593,0.6920000000000001,0.99552,0.5491199999999999,9.49
117,76.244005,230.723822,0.67578,1.01174,0.54063,7.49
118,76.244167,230.721715,0.67578,1.01174,0.54063,12.99
119,76.243992,230.724001,0.67578,1.01174,0.54063,7.95
120,76.244137,230.726325,0.6920000000000001,0.99552,0.5491199999999999,20.03
121,76.244299,230.724218,0.6920000000000001,0.99552,0.5491199999999999,7.78
122,76.24446,230.722111,0.67578,1.01174,0.54063,10.56
123,76.24428499999999,230.72439900000003,0.6920000000000001,0.99552,0.5491199999999999,7.86
124,76.244431,230.726723,0.6920000000000001,0.99552,0.5491199999999999,21.48
125,76.244592,230.72461600000003,0.6920000000000001,0.99552,0.5491199999999999,8.87
126,76.244754,230.722509,0.67578,1.01174,0.54063,11.74
127,76.244579,230.724796,0.6920000000000001,0.99552,0.5491199999999999,9.39
128,76.244724,230.727128,0.6920000000000001,0.99552,0.5491199999999999,12.92
129,76.244885,230.725019,0.6920000000000001,0.99552,0.5491199999999999,17.84
130,76.245047,230.722911,0.6920000000000001,0.99552,0.5491199999999999,11.97
131,76.244872,230.725193,0.6920000000000001,0.99552,0.5491199999999999,16.18
132,76.245017,230.727534,0.6920000000000001,0.99552,0.5491199999999999,11.15
133,76.24517800000001,230.725425,0.6920000000000001,0.99552,0.5491199999999999,15.74
134,76.24534,230.723316,0.6920000000000001,0.99552,0.5491199999999999,11.81
135,76.245166,230.725592,0.6920000000000001,0.99552,0.5491199999999999,15.01
136,76.24531,230.727937,0.6920000000000001,0.99552,0.5491199999999999,8.5
137,76.245471,230.725829,0.6920000000000001,0.99552,0.5491199999999999,9.9
138,76.245633,230.723721,0.69509,0.99398,0.54603,11.98
139,76.245459,230.725988,0.6920000000000001,0.99552,0.5491199999999999,10.27
140,76.245602,230.728338,0.6920000000000001,0.99552,0.5491199999999999,10.9
141,76.24576400000001,230.726232,0.6920000000000001,0.99552,0.5491199999999999,10.31
142,76.245925,230.724126,0.69509,0.99398,0.54603,13.04
143,76.245752,230.726385,0.6920000000000001,0.99552,0.5491199999999999,10.62
144,76.245896,230.728738,0.6920000000000001,0.99552,0.5491199999999999,11.9
145,76.246057,230.726631,0.69509,0.99398,0.54603,10.69
146,76.246219,230.72452400000003,0.69509,0.99398,0.54603,12.85
147,76.246045,230.726782,0.69509,0.99398,0.54603,10.1
148,76.246189,230.729135,0.6920000000000001,0.99552,0.5491199999999999,11.45
149,76.24635,230.727027,0.69509,0.99398,0.54603,12.19
150,76.246512,230.724919,0.69509,0.99398,0.54603,19.11
151,76.246339,230.727181,0.69509,0.99398,0.54603,11.68
152,76.246482,230.72953,0.69509,0.99398,0.54603,10.51
153,76.24664399999999,230.727422,0.69509,0.99398,0.54603,9.99
154,76.24680500000001,230.725315,0.69509,0.99398,0.54603,12.72
155,76.24663199999999,230.727577,0.69509,0.99398,0.54603,10.2
156,76.246776,230.729926,0.69509,0.99398,0.54603,7.51
157,76.246937,230.727818,0.69509,0.99398,0.54603,8.15
158,76.247098,230.72571,0.69509,0.99398,0.54603,10.78
159,76.246925,230.727974,0.69509,0.99398,0.54603,8.33
160,76.247069,230.730321,0.7228899999999999,0.96231,0.55993,7.3
161,76.247231,230.728213,0.69509,0.99398,0.54603,9.33
162,76.247392,230.726105,0.69509,0.99398,0.54603,10.26
163,76.247218,230.728371,0.69509,0.99398,0.54603,8.92
164,76.247362,230.730718,0.7228899999999999,0.96231,0.55993,20.7
165,76.247524,230.72861,0.7228899999999999,0.96231,0.55993,10.05
166,76.247685,230.726502,0.69509,0.99398,0.54603,10.24
167,76.247512,230.728769,0.7228899999999999,0.96231,0.55993,10.84
168,76.247656,230.731114,0.7228899999999999,0.96231,0.55993,39.8
169,76.247817,230.729007,0.7228899999999999,0.96231,0.55993,20.51
170,76.247978,230.72689900000003,0.69509,0.99398,0.54603,9.97
171,76.247805,230.729166,0.7228899999999999,0.96231,0.55993,21.53
172,76.247949,230.731514,0.7228899999999999,0.96231,0.55993,17.92
173,76.24811,230.729406,0.7228899999999999,0.96231,0.55993,26.62
174,76.248271,230.727298,0.7228899999999999,0.96231,0.55993,11.79
175,76.248098,230.729564,0.7228899999999999,0.96231,0.55993,24.37
176,76.248242,230.731911,0.7228899999999999,0.96231,0.55993,14.17
177,76.248403,230.729804,0.7228899999999999,0.96231,0.55993,19.92
178,76.248564,230.72769700000003,0.7228899999999999,0.96231,0.55993,26.31
179,76.248391,230.72996,0.7228899999999999,0.96231,0.55993,13.55
180,76.248535,230.732308,0.7228899999999999,0.96231,0.55993,14.47
181,76.248696,230.7302,0.7228899999999999,0.96231,0.55993,10.42
182,76.248857,230.728092,0.7228899999999999,0.96231,0.55993,46.32
183,76.248684,230.730357,0.7228899999999999,0.96231,0.55993,12.39
184,76.248829,230.732702,0.7228899999999999,0.96231,0.55993,16.58
185,76.24899,230.730592,0.7228899999999999,0.96231,0.55993,22.46
186,76.249151,230.728482,0.72058,0.95922,0.55916,31.57
187,76.24897800000001,230.730754,0.7228899999999999,0.96231,0.55993,22.26
188,76.249122,230.733096,0.7228899999999999,0.96231,0.55993,15.72
189,76.24928299999999,230.730986,0.7228899999999999,0.96231,0.55993,21.03
190,76.249445,230.728877,0.72058,0.95922,0.55916,21.89
191,76.249271,230.731151,0.7228899999999999,0.96231,0.55993,19.29
192,76.249415,230.733488,0.7228899999999999,0.96231,0.55993,27.86
193,76.249577,230.73138,0.72058,0.95922,0.55916,14.74
194,76.249738,230.729273,0.72058,0.95922,0.55916,29.71
195,76.249564,230.731548,0.72058,0.95922,0.55916,15.84
