,lat,lon,Ca_r,Cf_r,An_r,rms
1,73.481263,204.494721,0.947,2.7541,0.6563100000000001,5.36
2,73.481397,204.496472,0.947,2.7541,0.6563100000000001,4.75
3,73.481279,204.494929,0.947,2.7541,0.6563100000000001,5.24
4,73.480875,204.49321,0.947,2.7541,0.6563100000000001,5.14
5,73.48101,204.494962,0.947,2.7541,0.6563100000000001,4.71
6,73.481144,204.496713,0.97997,2.40047,0.6353300000000001,4.41
7,73.481026,204.49517,0.947,2.7541,0.6563100000000001,4.53
8,73.480622,204.493452,0.97997,2.40047,0.6353300000000001,5.31
9,73.480757,204.495203,0.97997,2.40047,0.6353300000000001,4.91
10,73.480891,204.496954,0.97997,2.40047,0.6353300000000001,4.42
11,73.480773,204.495411,0.97997,2.40047,0.6353300000000001,4.59
12,73.480368,204.493691,0.97997,2.40047,0.6353300000000001,5.52
13,73.480503,204.495442,0.97997,2.40047,0.6353300000000001,5.27
14,73.480638,204.497193,0.97997,2.40047,0.6353300000000001,4.75
15,73.48052,204.495652,0.97997,2.40047,0.6353300000000001,5.04
16,73.480115,204.493932,0.97997,2.40047,0.6353300000000001,5.04
17,73.48025,204.495682,0.97997,2.40047,0.6353300000000001,5.11
18,73.480385,204.497433,0.97997,2.40047,0.6353300000000001,4.78
19,73.480266,204.495892,0.97997,2.40047,0.6353300000000001,5.06
20,73.479862,204.494172,0.97997,2.40047,0.6353300000000001,5.77
21,73.479997,204.495922,0.97997,2.40047,0.6353300000000001,5.77
22,73.480132,204.497673,0.97997,2.40047,0.6353300000000001,7.04
23,73.480013,204.496135,0.97997,2.40047,0.6353300000000001,5.8
24,73.479608,204.494417,0.97997,2.40047,0.6353300000000001,6.74
25,73.479744,204.496168,0.97997,2.40047,0.6353300000000001,7.15
26,73.479879,204.497918,0.97997,2.40047,0.6353300000000001,8.92
27,73.47976,204.496375,0.97997,2.40047,0.6353300000000001,7.06
28,73.47935600000001,204.494664,0.97997,2.40047,0.6353300000000001,6.67
29,73.47949200000001,204.496416,0.97997,2.40047,0.6353300000000001,5.15
30,73.47962700000001,204.498168,0.97997,2.40047,0.6353300000000001,6.43
31,73.479507,204.496617,0.97997,2.40047,0.6353300000000001,5.16
