,#path, orbit, img_block, line, sample, lat, lon, an, ca, cf, rms,orbit_start,orbit_stop
39,106,86890,14,85,557,80.221448,272.939934,0.6129220000000001,0.776809,1.123191,7.655417,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
40,106,86890,14,86,557,80.223086,272.93847900000003,0.610521,0.774407,1.126793,7.363529,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
41,106,86890,14,86,556,80.225543,272.93629500000003,0.610521,0.772606,1.126793,7.49,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
42,106,86890,14,87,556,80.22609,272.935809,0.609921,0.773807,1.124992,7.336817999999999,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
43,106,86890,14,88,555,80.22936700000001,272.93289599999997,0.6087199999999999,0.767804,1.129194,6.752142999999999,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
44,106,86890,14,89,555,80.232372,272.93021600000003,0.60752,0.769005,1.132196,6.798571000000001,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
45,106,86890,14,89,554,80.233192,272.929485,0.6039180000000001,0.769005,1.1345969999999999,6.723,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
46,106,86890,14,90,554,80.235378,272.927529,0.605719,0.7708050000000001,1.130395,6.622692,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
47,106,86890,14,90,553,80.237291,272.925814,0.606919,0.768404,1.132796,6.8485,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
48,106,86890,14,91,553,80.23865699999999,272.92458799999997,0.6063189999999999,0.769005,1.132796,6.618889,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
49,106,86890,14,91,552,80.241116,272.922377,0.60752,0.768404,1.135197,6.6225,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
50,106,86890,14,92,552,80.241663,272.921884,0.605118,0.769605,1.132796,6.546444,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
51,106,86890,14,93,552,80.24466899999999,272.919194,0.602117,0.771406,1.132196,6.296667,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
52,106,86890,14,93,551,80.244943,272.918951,0.606919,0.7720060000000001,1.132796,6.637142999999999,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
53,106,86890,14,94,551,80.247951,272.916333,0.60752,0.773807,1.1315950000000001,6.755,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
54,106,86890,14,94,550,80.24904599999999,272.915386,0.610521,0.7708050000000001,1.129194,6.931071,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
