,path,orbit,lat,lon,Ca_r,Cf_r,An_r,rms
5623,152,86922,74.07163100000002,214.667905,0.83555,1.38113,0.59341,6.67
5624,152,86922,74.071341,214.669455,0.83555,1.38113,0.59341,6.71
5625,152,86922,74.0716,214.668071,0.83555,1.38113,0.59341,6.8
5626,152,86922,74.07168,214.665734,0.83555,1.38113,0.59341,5.96
5627,152,86922,74.071392,214.667299,0.83555,1.38113,0.59341,6.33
5628,152,86922,74.07110300000002,214.668864,0.83555,1.38113,0.59341,5.96
5629,152,86922,74.071362,214.667458,0.83555,1.38113,0.59341,6.72
5630,152,86922,74.07144,214.665145,0.83555,1.38113,0.59341,6.1
5631,152,86922,74.071151,214.666696,0.83555,1.38113,0.59341,6.47
5632,152,86922,74.070862,214.668246,0.83406,1.3826200000000002,0.5949,6.25
5633,152,86922,74.07112,214.666864,0.83555,1.38113,0.59341,6.71
5634,152,86922,74.071197,214.664541,0.83555,1.38113,0.59341,6.0
5635,152,86922,74.07090699999998,214.666081,0.83555,1.38113,0.59341,6.22
5636,152,86922,74.070617,214.667621,0.83406,1.3826200000000002,0.5949,6.49
5637,152,86922,74.070874,214.666259,0.83555,1.38113,0.59341,6.46
5638,152,86922,74.070955,214.663937,0.8235899999999999,1.3901,0.5964,6.28
5639,152,86922,74.070666,214.665479,0.83555,1.38113,0.59341,6.34
5640,152,86922,74.07037700000002,214.667021,0.83406,1.3826200000000002,0.5949,6.03
5641,152,86922,74.070634,214.665653,0.83555,1.38113,0.59341,6.57
5642,152,86922,74.070709,214.663325,0.8235899999999999,1.3901,0.5964,6.58
5643,152,86922,74.070421,214.664867,0.8235899999999999,1.3901,0.5964,6.63
5644,152,86922,74.070132,214.666409,0.83406,1.3826200000000002,0.5949,6.33
5645,152,86922,74.070389,214.665038,0.8235899999999999,1.3901,0.5964,6.84
5646,152,86922,74.070476,214.662735,0.8235899999999999,1.3901,0.5964,6.51
5647,152,86922,74.070183,214.664276,0.82957,1.38412,0.60088,6.42
5648,152,86922,74.069891,214.665817,0.82957,1.38412,0.60088,6.45
5649,152,86922,74.070149,214.664456,0.82957,1.38412,0.60088,6.61
5650,152,86922,74.070233,214.66213,0.8235899999999999,1.3901,0.5964,6.41
5651,152,86922,74.06994,214.663671,0.82957,1.38412,0.60088,6.04
5652,152,86922,74.069647,214.665211,0.82957,1.38412,0.60088,6.28
5653,152,86922,74.069907,214.663846,0.82957,1.38412,0.60088,6.16
5654,152,86922,74.069987,214.661521,0.8235899999999999,1.3901,0.5964,6.34
5655,152,86922,74.069695,214.66306,0.82957,1.38412,0.60088,5.94
5656,152,86922,74.06940300000002,214.664599,0.82957,1.38412,0.60088,6.41
5657,152,86922,74.069663,214.663233,0.82957,1.38412,0.60088,6.17
5658,152,86922,74.06974699999998,214.66092000000003,0.8235899999999999,1.3901,0.5964,6.0
5659,152,86922,74.069455,214.662458,0.82957,1.38412,0.60088,5.78
5660,152,86922,74.069162,214.663996,0.82957,1.38412,0.60088,6.08
5661,152,86922,74.069422,214.662631,0.82957,1.38412,0.60088,6.02
